,degree_centrality,betweenness_centrality,closeness_centrality
Willem Dafoe_a,0.012274782858373412,0.007559475949604562,0.30343253074938514
Anne Archer_a,0.004306941353815232,0.0008508279071807649,0.2723747466255854
Joaquim de Almeida_a,0.0017945588974230134,0.0001650912541007062,0.25528444301827175
Henry Czerny_a,0.0017227765415260927,9.099512370678081e-05,0.2589712066723078
Donald Moffat_a,0.0016509941856291722,0.00018980092668352354,0.25356742761978324
Miguel Sandoval_a,0.0026559471681860598,0.00021702208683879078,0.2755065059460422
Benjamin Bratt_a,0.005024764912784438,0.0013227866729466097,0.28690573879641096
Dean Jones_a,0.0017945588974230134,0.00010981732370360074,0.25992794431137767
Thora Birch_a,0.003732682506639868,0.0015393637288832272,0.2771725553760223
James Earl Jones_a,0.0033019883712583444,0.001311123893202731,0.2770265799618954
Raymond Cruz_a,0.0017945588974230134,0.00011417834048201612,0.26001972245658433
Renny Harlin_d,0.0019381236092168544,0.00029640721169092054,0.25835943981757964
Sylvester Stallone_a,0.004594070777402914,0.003196856617376595,0.2704475039026691
John Lithgow_a,0.004163376642021391,0.0014739370067988653,0.27453419448753896
Michael Rooker_a,0.002009905965113775,0.0002772344431869089,0.2541800784527732
Janine Turner_a,0.0007896059148661259,0.0,0.2270582714834964
Rex Linn_a,0.0007896059148661259,0.0,0.2270582714834964
Caroline Goodall_a,0.0016509941856291722,0.00014368351509408547,0.24699606120926204
Leon_a,0.0014356471179384107,0.00013884337560176666,0.23389992481685123
Craig Fairbrass_a,0.0007896059148661259,0.0,0.2270582714834964
Ralph Waite_a,0.0007896059148661259,0.0,0.2270582714834964
Max Perlich_a,0.0007896059148661259,0.0,0.2270582714834964
Paul Winfield_a,0.0012920824061445695,8.212674862670203e-05,0.23405852119762294
Anthony Minghella_d,0.0012920824061445695,2.0107267713592508e-05,0.2572523312000889
Jude Law_a,0.004665853133299835,0.0009414631462407935,0.2803166484647165
Nicole Kidman_a,0.005240111980475199,0.0013281991627006465,0.2783318933000886
Renée Zellweger_a,0.0031584236594645035,0.0008113187988785501,0.27824075187407094
Eileen Atkins_a,0.0027277295240829805,0.0002198722528039474,0.26450894014512627
Philip Seymour Hoffman_a,0.0039480295743306295,0.0006834341962908061,0.28242375356413935
Natalie Portman_a,0.005168329624578278,0.0018490965768762045,0.2815886063373258
Giovanni Ribisi_a,0.003804464862536788,0.0009557197944471718,0.2820919824659231
Donald Sutherland_a,0.004163376642021391,0.0013570651681088042,0.27389431811060294
Ray Winstone_a,0.004450506065609073,0.0006834590440160917,0.2903292729886881
Simon Wincer_d,0.002440600100495298,0.0004308859882711354,0.24468717546962201
Paul Hogan_a,0.0010049529825568876,0.0,0.2150731668497005
Linda Kozlowski_a,0.0010049529825568876,0.0,0.2150731668497005
Jere Burns_a,0.0010049529825568876,0.0,0.2150731668497005
Jonathan Banks_a,0.002297035388701457,0.000491199626150433,0.2533696779457444
Aida Turturro_a,0.0017227765415260927,0.0003093105031165881,0.24846835930001163
Alec Wilson_a,0.0010049529825568876,0.0,0.2150731668497005
Gerry Skilton_a,0.0010049529825568876,0.0,0.2150731668497005
Steve Rackman_a,0.0010049529825568876,0.0,0.2150731668497005
Serge Cockburn_a,0.0010049529825568876,0.0,0.2150731668497005
Mark Adair-Rios_a,0.0017227765415260927,0.0001617710981303053,0.23559608090689368
Tiriel Mora_a,0.0010049529825568876,0.0,0.2150731668497005
Grant Piro_a,0.0010049529825568876,0.0,0.2150731668497005
Mike Tyson_a,0.0017227765415260927,0.00016993802851397914,0.2221717622920939
Channing Tatum_a,0.005455459048165961,0.0014245235749561378,0.2890907576393775
Amanda Seyfried_a,0.006245064963032086,0.002382139138579968,0.2799543262133618
Richard Jenkins_a,0.00674754145431053,0.0031892137230235904,0.30290001780740966
Henry Thomas_a,0.0027277295240829805,0.0008201610375071635,0.27078562129288397
D.J. Cotrona_a,0.0007178235589692054,0.0,0.24294356139264137
Cullen Moss_a,0.0007178235589692054,0.0,0.24294356139264137
Gavin McCulley_a,0.0007178235589692054,0.0,0.24294356139264137
Jose Lucena Jr._a,0.0007178235589692054,0.0,0.24294356139264137
Keith Robinson_a,0.0007178235589692054,0.0,0.24294356139264137
Scott Porter_a,0.002297035388701457,0.0005688699951015613,0.25808780021964056
Spike Lee_d,0.002584164812289139,0.0002903976305420027,0.26552625776785693
Danny Aiello_a,0.0017227765415260927,0.00011022899797545954,0.2580697112211905
Ossie Davis_a,0.0015074294738353312,3.617397146933942e-05,0.25785284085530985
Ruby Dee_a,0.0015792118297322517,4.6830110710273404e-05,0.2626722909043497
Richard Edson_a,0.0017227765415260927,6.511991773772086e-05,0.2678051215700685
Giancarlo Esposito_a,0.0030148589476706625,0.000446266754265759,0.2706927205969715
Spike Lee_a,0.0010049529825568876,0.0,0.25305623810223404
Bill Nunn_a,0.003086641303567583,0.0003938106272005539,0.27831786765604116
John Turturro_a,0.004594070777402914,0.0007904880995072653,0.2840578560804541
Paul Benjamin_a,0.0010049529825568876,0.0,0.25305623810223404
Frankie Faison_a,0.0031584236594645035,0.0004535697484784621,0.2762437254457853
Samuel L. Jackson_a,0.015433206517837915,0.015536340509953379,0.3192069888571194
Rosie Perez_a,0.0034455530830521854,0.0006621003464348674,0.2825465622049013
Martin Lawrence_a,0.008685665063527385,0.004900511025847618,0.2931648358343007
Steven C. Miller_d,0.0017227765415260927,7.863811317596577e-05,0.24031671596650966
Bruce Willis_a,0.010121312181465796,0.006482574103015314,0.29130931325722237
Kellan Lutz_a,0.003373770727155265,0.000944085388604997,0.2708852285399141
Gina Carano_a,0.002009905965113775,0.00035615331816012195,0.2553375522849823
D.B. Sweeney_a,0.002009905965113775,0.0010822966826587205,0.23675749848681021
Joshua Mikel_a,0.0012920824061445695,0.0002707435865712231,0.23153195098200793
Steve Coulter_a,0.001220300050247649,8.79773554273034e-05,0.2461978257828831
Dan Bilzerian_a,0.0005742588471753643,0.0,0.22799087408463609
Heather Johansen_a,0.0005742588471753643,0.0,0.22799087408463609
Richard LaGravenese_d,0.0015074294738353312,5.552383606881265e-05,0.248686520090968
Hilary Swank_a,0.0027995118799799008,0.000571028447775284,0.2631854816278053
Patrick Dempsey_a,0.0033019883712583444,0.000532744984626754,0.27640270867282096
Imelda Staunton_a,0.005240111980475199,0.000377470052910461,0.26508022004273035
April L. Hernandez_a,0.0013638647620414902,7.616961065408685e-05,0.22791560783643414
Mario_a,0.0008613882707630464,0.0,0.22586970349454283
Kristin Herrera_a,0.0008613882707630464,0.0,0.22586970349454283
Jaclyn Ngan_a,0.0008613882707630464,0.0,0.22586970349454283
Sergio Montalvo_a,0.0008613882707630464,0.0,0.22586970349454283
Jason Finn_a,0.0008613882707630464,0.0,0.22586970349454283
Deance Wyatt_a,0.0008613882707630464,0.0,0.22586970349454283
Vanetta Smith_a,0.0008613882707630464,0.0,0.22586970349454283
Martin Campbell_d,0.003589117794846027,0.0005252449724533659,0.2704541255392752
Blake Lively_a,0.0022252530328045364,0.0001615604966576739,0.2711512064755417
Peter Sarsgaard_a,0.0026559471681860598,0.0003043148606299152,0.2728996182869436
Mark Strong_a,0.005742588471753643,0.0009846178656962798,0.28058009726944083
Tim Robbins_a,0.003660900150742947,0.0006942291331687161,0.2781076524937842
Jay O. Sanders_a,0.0028712942358768215,0.0006909418618993755,0.2750879803113091
Taika Waititi_a,0.001866341253319934,8.964572092525379e-05,0.2679415380924809
Angela Bassett_a,0.004450506065609073,0.0011418138022536075,0.28138059070740545
Reginald Hudlin_d,0.0017945588974230134,0.00021001722587172527,0.2469629281300442
Christopher Reid_a,0.001866341253319934,5.227516990969263e-05,0.24049460820362317
Christopher Martin_a,0.001866341253319934,5.227516990969263e-05,0.24049460820362317
Robin Harris_a,0.000933170626659967,0.0,0.2223103737200253
Tisha Campbell_a,0.001866341253319934,5.227516990969263e-05,0.24049460820362317
A.J. Johnson_a,0.000933170626659967,0.0,0.2223103737200253
Paul Anthony_a,0.0012920824061445695,6.873829821967482e-06,0.2305461534322755
Bowlegged Lou_a,0.0012920824061445695,6.873829821967482e-06,0.2305461534322755
B-Fine_a,0.0012920824061445695,6.873829821967482e-06,0.2305461534322755
Edith Fields_a,0.000933170626659967,0.0,0.2223103737200253
Kelly Jo Minter_a,0.000933170626659967,0.0,0.2223103737200253
Clifton Powell_a,0.000933170626659967,0.0,0.2223103737200253
Verda Bridges_a,0.000933170626659967,0.0,0.2223103737200253
George Jackson_d,0.0007178235589692054,0.0,0.22957825728776093
Kamron_a,0.0007896059148661259,1.0306153036169496e-09,0.22958302883569476
Iman_a,0.0007896059148661259,1.0306153036169496e-09,0.22958302883569476
Queen Latifah_a,0.005240111980475199,0.001672390984479949,0.2912632260883485
Doug McHenry_d,0.0007178235589692054,0.0,0.22957825728776093
Eric Meza_d,0.0007178235589692054,0.0,0.22716099799289727
David Edwards_a,0.0007178235589692054,0.0,0.22716099799289727
Angela Means_a,0.0007178235589692054,0.0,0.22716099799289727
Ketty Lester_a,0.0007178235589692054,0.0,0.22716099799289727
Bernie Mac_a,0.004306941353815232,0.0015860372572143505,0.2844528583781994
Michael Colyar_a,0.003589117794846027,0.00021495390002665928,0.2601054405529014
Chris Tucker_a,0.0029430765917737418,0.000677262569407736,0.2729468210872404
Khandi Alexander_a,0.0007178235589692054,0.0,0.22716099799289727
Michael Martin_d,0.0008613882707630464,0.0,0.21290104559017456
Master P_a,0.0034455530830521854,0.00013307788912827868,0.2314785802472887
Anthony Johnson_a,0.0016509941856291722,9.592473898350502e-05,0.22971193564582146
Gretchen Palmer_a,0.0008613882707630464,0.0,0.21290104559017456
Frantz Turner_a,0.0016509941856291722,0.00013588532965943742,0.23379596269394073
Richard Keats_a,0.0008613882707630464,0.0,0.21290104559017456
Joe Estevez_a,0.0008613882707630464,0.0,0.21290104559017456
William Knight_a,0.0008613882707630464,0.0,0.21290104559017456
Anthony Boswell_a,0.0008613882707630464,0.0,0.21290104559017456
Tommy 'Tiny' Lister_a,0.002440600100495298,0.0007751810929596299,0.2664806969362303
Helen Martin_a,0.0008613882707630464,0.0,0.21290104559017456
John Witherspoon_a,0.0014356471179384107,0.0002330738623283291,0.2465880402134257
Mia X_a,0.0008613882707630464,0.0,0.21290104559017456
Michael Rymer_d,0.001220300050247649,0.0,0.24097202987348643
Omar Epps_a,0.003517335438949106,0.0010043618770455003,0.2693462205115851
LL Cool J_a,0.003660900150742947,0.0007999958965009503,0.27821272036572176
Nia Long_a,0.003230206015361424,0.000814533793996278,0.2582748684654918
Pam Grier_a,0.0033019883712583444,0.0011689657672354103,0.27261001602666873
Hill Harper_a,0.0026559471681860598,0.00033730979025606885,0.2644013080903973
